1,2,3,4,5,6,7,8,9,10,11,12,13,14,x
7,150,92,129,136,91,160,137,130,143,141,135,0,0,1
7,117,117,160,202,110,143,113,107,45,81,88,0,0,0
7,128,118,85,24,47,64,124,98,128,57,120,0,0,1
19,110,76,102,88,124,95,190,71,108,91,127,0,0,1
20,57,32,190,19,18,194,190,38,39,59,35,0,0,0
30,119,131,123,130,105,89,104,76,42,46,50,0,0,1
30,149,142,125,95,93,93,78,64,82,59,61,0,0,0
35,96,122,100,80,136,194,190,187,99,87,83,0,0,1
74,102,105,87,67,129,141,190,187,187,95,104,0,0,1
74,125,193,120,156,79,60,116,162,111,195,198,0,0,1
74,143,115,66,131,196,194,190,187,187,151,131,0,0,0
74,71,154,107,60,196,145,131,133,187,195,128,0,0,1
81,157,159,159,107,151,141,132,139,140,122,163,0,0,1
81,162,121,126,139,109,91,78,153,126,152,148,0,0,0
81,173,148,164,156,149,130,142,124,106,135,116,0,0,1
82,97,65,22,202,196,194,190,187,79,195,69,0,0,0
82,22,193,35,66,92,194,190,29,187,145,60,0,0,1
96,129,193,82,97,60,90,92,187,67,195,89,0,0,1
96,78,24,32,52,196,62,40,31,41,21,198,0,0,1
96,99,108,190,135,125,88,128,85,103,76,155,0,0,0
96,199,193,190,79,161,194,100,48,35,62,198,0,0,1
134,199,193,190,202,164,191,187,181,184,134,99,0,0,1
134,194,177,148,180,190,189,176,182,162,78,167,0,0,0
134,192,184,188,200,193,193,189,185,182,187,197,0,0,1
143,31,70,48,58,196,20,190,187,44,49,61,0,0,0
146,153,124,108,160,126,73,42,54,47,111,198,0,0,1
146,121,193,155,76,196,96,102,74,139,88,55,0,0,0
146,44,61,97,36,196,194,190,187,38,63,198,0,0,1
149,85,56,19,62,43,71,70,76,60,30,63,0,0,1
150,100,98,135,148,165,108,170,117,128,170,65,0,0,0
150,189,189,187,196,188,170,180,179,180,172,193,0,0,1
150,199,191,190,202,191,192,186,186,186,194,196,0,0,1
161,29,116,123,59,149,144,72,136,109,131,124,0,0,1
161,178,167,149,202,119,75,123,158,72,157,61,0,0,1
161,89,33,29,38,196,194,71,23,60,27,27,0,0,0
185,84,109,190,177,196,194,190,187,187,126,198,0,0,0
191,84,87,77,46,84,194,190,187,187,195,198,0,0,0
202,79,163,130,166,140,101,190,187,187,124,170,0,0,1
202,199,106,67,59,196,119,132,121,91,114,156,0,0,1
